Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
6/23/2014,36342,61529,17067560,113289,1024,167,0
6/24/2014,39886,66604,17134164,113482,939,136,0
6/25/2014,38035,60763,17194927,113655,868,137,0
6/26/2014,38610,63768,17258695,113784,1051,109,0
6/27/2014,39697,70902,17329597,113905,1573,147,0
6/28/2014,31684,65075,17394672,114020,2679,125,0
6/29/2014,30784,64706,17459378,114142,2450,125,0
6/30/2014,36854,61917,17521295,114260,1044,120,0
7/1/2014,37970,61170,17582465,114434,955,120,0
7/2/2014,28765,44192,17626657,114560,688,92,0
7/3/2014,30078,48573,17675230,114720,819,88,0
7/4/2014,14850,27905,17703135,114844,1196,77,0
7/5/2014,25116,55725,17758860,114892,2566,127,0
7/6/2014,26615,65358,17824218,114978,2392,111,0
7/7/2014,35075,59834,17884052,115092,905,160,0
7/8/2014,35734,57828,17941880,115287,740,120,0
7/9/2014,37588,60912,18002792,115446,879,127,0
7/10/2014,39779,66239,"18,069,031",115605,1052,115,0
7/11/2014,38416,65516,18134547,115711,1339,93,0
7/12/2014,31413,63664,18198211,115810,2697,115,0
7/13/2014,27089,50105,18248316,115914,1713,91,0
7/14/2014,28173,43222,18291538,116026,637,93,0
7/15/2014,24993,37092,18328630,116142,410,58,0
7/16/2014,38610,63616,18392246,116245,959,116,0
7/17/2014,41996,70061,18462307,116361,1114,110,0
7/18/2014,39526,69416,"18,531,723",116472,1502,148,0
7/19/2014,31943,64395,18596118,116551,2796,130,0
7/20/2014,33156,68542,18664660,116669,2767,146,0
7/21/2014,38963,64824,18729484,116812,1162,129,0
7/22/2014,40450,67081,18796565,116969,992,127,0
7/23/2014,37508,59956,18856521,117090,816,126,0
7/24/2014,40419,67584,18924105,117229,1064,109,0
7/25/2014,39768,68652,18992757,117340,1457,105,0
7/26/2014,29882,59645,19052402,117427,2428,92,0
7/27/2014,29669,58193,19110595,117530,2108,115,0
7/28/2014,36360,59567,"19,170,162",117703,877,150,0
7/29/2014,41198,68064,19238226,117930,1089,128,0
7/30/2014,41207,68127,19306353,118075,1116,99,0
7/31/2014,39282,65414,19371767,118204,1065,113,0
8/1/2014,35829,59202,19430969,118314,1192,93,0
8/2/2014,30013,60544,19490171,118408,2540,127,0
8/3/2014,27854,55867,19546038,118555,2146,96,0
8/4/2014,37408,63737,19609775,118704,1097,165,0
8/5/2014,38168,63957,19673732,118830,1059,119,0
8/6/2014,39942,66342,19740074,118938,1067,144,0
8/7/2014,39933,67398,19807472,119047,1083,129,0
8/8/2014,37367,64330,19871802,119137,1342,111,0
8/9/2014,35701,81003,19952805,119244,3814,151,0
8/10/2014,29339,61287,20014092,119351,2303,131,0
8/11/2014,36837,61708,20075800,119495,1167,132,0
8/12/2014,28591,41880,20117680,119584,526,90,0
8/13/2014,30698,49367,20167047,119693,661,98,0
8/14/2014,38863,67924,20234971,119789,1069,128,0
8/15/2014,35524,60015,20294986,119869,1198,117,0
8/16/2014,36127,83272,20378258,119962,4217,155,0
8/17/2014,30223,61390,20439648,120069,2344,121,0
8/18/2014,37851,64873,20504521,120227,1156,157,0
8/19/2014,38912,65883,20570404,120356,965,140,0
8/20/2014,39090,66900,20637304,120470,1057,110,0
8/21/2014,36917,62373,20699677,120598,960,107,0
8/22/2014,33147,54765,20754442,120688,863,81,0
8/23/2014,28956,57270,20811712,120769,2254,98,0
8/24/2014,30422,65005,20876717,120884,2528,125,0
8/25/2014,36244,60866,20937583,121050,1007,146,0
8/26/2014,37937,62487,21000070,121157,937,124,0
8/27/2014,36900,61488,21061558,121292,829,83,0
8/28/2014,37055,62402,21123960,121423,982,83,0
8/29/2014,34292,59371,21183331,121522,1329,109,0
8/30/2014,25239,52782,21236113,121610,2442,99,0
8/31/2014,20097,41594,21277707,121690,1952,89,0
9/1/2014,26055,51270,21328977,121809,2083,105,0
9/2/2014,34005,53842,21382819,121979,693,121,0
9/3/2014,38998,62736,21445555,122124,789,148,0
9/4/2014,40022,64563,21510118,122248,816,125,0
9/5/2014,38325,64421,21574539,122356,1111,121,0
9/6/2014,28290,51519,21626058,122438,1674,105,0
9/7/2014,32524,65394,21691452,122555,2222,115,0
9/8/2014,38091,60610,21752062,122697,818,118,0
9/9/2014,38101,59026,21811088,122818,620,99,0
9/10/2014,41634,69561,21880649,122915,981,104,0
9/11/2014,40864,65798,21946447,123006,844,90,0
9/12/2014,41341,75561,22022008,123111,1195,103,0
9/13/2014,19110,31600,22053608,123192,842,67,0
9/14/2014,31589,62963,22116571,123309,2290,117,0
9/15/2014,39044,64983,22181554,123421,858,118,0
9/16/2014,28285,43250,22224804,123521,484,61,0
9/17/2014,41347,67758,22292562,123636,916,121,0
9/18/2014,41145,67840,22360402,123718,887,115,0
9/19/2014,38162,62500,22422902,123796,979,90,0
9/20/2014,32951,64838,22487740,123850,2464,122,0
9/21/2014,28530,54319,22542059,123926,1693,90,0
9/22/2014,36624,59024,22601083,124044,748,84,0
9/23/2014,40105,66590,22667673,124124,841,106,0
9/24/2014,38976,62834,22730507,124230,719,100,0
9/25/2014,18282,26019,22756526,124291,165,24,0
9/26/2014,38394,66227,22822753,124376,1297,118,0
9/27/2014,33322,69724,22892477,124433,2712,118,0
9/28/2014,32080,64811,22957288,124532,2259,129,0
9/29/2014,36896,59305,23016593,124645,689,114,0
9/30/2014,39061,59970,23076563,124734,613,65,0
10/1/2014,31197,44612,23121175,124846,330,48,0
10/2/2014,38286,60639,23181814,124959,602,86,0
10/3/2014,38956,65739,23247553,125024,1276,107,0
10/4/2014,15088,24254,23271807,125058,617,26,0
10/5/2014,26247,48930,23320737,125109,1470,90,0
10/6/2014,35651,56380,23377117,125203,710,99,0
10/7/2014,36931,58740,23435857,125262,593,81,0
10/8/2014,37870,60594,23496451,125354,667,86,0
10/9/2014,36427,57865,23554316,125407,709,71,0
10/10/2014,34690,54690,23609006,125464,905,78,0
10/11/2014,14805,23278,23632284,125487,528,34,0
10/12/2014,26259,52781,23685064,125529,2083,80,0
10/13/2014,25616,40275,23725339,125589,749,60,0
10/14/2014,36529,61691,23787030,125651,869,101,0
10/15/2014,31784,49319,23836349,125703,506,82,0
10/16/2014,29845,47808,23884157,125763,499,61,0
10/17/2014,37759,64389,23948545,125816,1180,105,0
10/18/2014,27634,52554,24001099,125865,1806,63,0
10/19/2014,21017,35039,24036139,125914,1000,57,0
10/20/2014,30928,48030,24084168,125968,514,74,0
10/21/2014,34710,53960,24138128,126008,539,90,0
10/22/2014,10402,13894,24152022,126037,110,30,0
10/23/2014,14886,20446,24172468,126062,74,19,0
10/24/2014,33022,51151,24223619,126086,722,84,0
10/25/2014,27802,53881,24277499,126117,2093,83,0
10/26/2014,23077,41308,24318808,126166,1220,71,0
10/27/2014,31908,49892,24368754,126229,519,73,0
10/28/2014,36429,56602,24425356,126395,628,79,0
10/29/2014,32944,48378,24473733,126460,466,70,0
10/30/2014,34658,52162,24525895,126487,557,61,0
10/31/2014,30787,46834,24572729,126503,653,75,0
11/1/2014,6739,8703,24581432,126514,98,10,0
11/2/2014,15730,23106,24604538,126527,480,44,0
11/3/2014,29590,45368,24649906,126557,568,51,0
11/4/2014,34612,54306,24704213,126579,665,80,0
11/5/2014,33764,52464,24756677,126611,513,49,0
11/6/2014,13882,18743,24775420,126627,98,12,0
11/7/2014,28053,40163,24815583,126647,416,45,0
11/8/2014,19372,31589,24847172,126659,878,40,0
